"Story","Title","Result","Date","Stability","Duration (s)"
"DELETE - Delete Counselor","Delete Counselor With Valid Endpoint","SUCCESS","2023-06-19T12:40:31.8038727+07:00[Asia/Bangkok]","0.0","9.87"
"DELETE - Delete Counselor","Delete Counselor with id","SUCCESS","2023-06-19T12:40:41.7371613+07:00[Asia/Bangkok]","0.0","1.1"
"DELETE - Delete Counselor","Delete Counselor With Invalid Endpoint","SUCCESS","2023-06-19T12:40:42.8801692+07:00[Asia/Bangkok]","0.0","1.0"
"DELETE - Delete Counselor","Delete Counselor Without Token","SUCCESS","2023-06-19T12:40:43.918172+07:00[Asia/Bangkok]","0.0","0.97"
