"Story","Title","Result","Date","Stability","Duration (s)"
"GET - All User Counselor","Get All Counselor Valid Endpoint","SUCCESS","2023-06-09T21:14:32.90623+07:00[Asia/Bangkok]","0.0","9.75"
"GET - All User Counselor","Get All Counselor send invalid Endpoint","FAILURE","2023-06-09T21:14:42.7254464+07:00[Asia/Bangkok]","0.0","1.41"
